,index,iid,est,title
0,24944,1204,4.212892166059259,Lawrence of Arabia (1962)
1,24265,1272,4.182458739904404,Patton (1970)
2,24964,1104,4.169802213970106,"Streetcar Named Desire, A (1951)"
3,24537,922,4.116118794773176,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
4,24238,318,4.1137625544572405,"Shawshank Redemption, The (1994)"
5,25127,1235,4.086262671082914,Harold and Maude (1971)
6,25170,2067,4.060041638873552,Doctor Zhivago (1965)
7,24097,527,4.0549677996295195,Schindler's List (1993)
8,24709,1228,4.04348194195797,Raging Bull (1980)
9,24291,898,4.037218970570562,"Philadelphia Story, The (1940)"
